user,created_at,text
511NY,1/17/2020 13:48,Cleared: Incident on #NY7 WB at I-87 Exit
511NY,1/17/2020 13:48,Construction on #I490 WB from I-390 to Howard Road; 940L; Howard Roa
511NY,1/17/2020 13:48,Updated: Construction on #I280 WB from Exit 17 - Harrison Av to CR 50
511NY,1/17/2020 13:48,Construction on #I490 WB from I-390 to Howard Road; 940L; Howard Roa
511NY,1/17/2020 13:48,Construction on #GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Leve
511nyLongIsland,1/17/2020 13:47,Incident on #I495 WB from Exit 40W - State Route 906A to Exit 39 - Glen Cove Roa
511NY,1/17/2020 13:46,Incident on #S2W WB at Exit 4 (EAST RIVER DR EXT
511NY,1/17/2020 13:46,Incident on #ALine NB at Broadway Junctio
511NY,1/17/2020 13:46,Updated: Construction on #US206 SB at South of CR 642/Vincentown-Buddtown R
511NY,1/17/2020 13:46,Incident on #I84W WB at 0.25 miles before Exit 65 (RTE 30
511nyACE,1/17/2020 13:46,Incident on #ALine NB at Broadway Junctio
511NY,1/17/2020 13:45,Construction on #I280 WB at In the vicinity of CR 50
511NY,1/17/2020 13:45,Construction on #NJ29 SB from Warren St to North of Thunder Rd/Cass S
511NY,1/17/2020 13:45,Construction on #US206 SB at South of CR 642/Vincentown-Buddtown R
511NY,1/17/2020 13:44,Cleared: Incident on #NJ42 NB at Exit 14 - CR 753/Creek 
511NY,1/17/2020 13:44,Cleared: Incident on #LincolnTunnel 
511NY,1/17/2020 13:44,Cleared: Incident on #I76 WB at West of Exit 1D - US 1
511NY,1/17/2020 13:42,Updated: Construction on #NJ55 NB at North of Exit 35 - CR 674/Garden R
511NY,1/17/2020 13:40,Construction on #GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to Henry Hudson Parkwa
511NY,1/17/2020 13:40,Construction on #I87MajorDeeganExpressway NB from Exit 7N-7S 7N &amp; - I-95-Cross Bronx Expressway to West Fordham Roa
511NY,1/17/2020 13:40,Updated: Incident on #I95S SB at Exit 6 (GRENHART RD
511NY,1/17/2020 13:40,Construction on #NJ55 NB at North of Exit 32 - NJ 5
