time,user,text
2/1/2020 20:31,511NYMidHudson,Updated: Construction on TaconicStateParkway NB at Lakeview Avenue
2/1/2020 20:31,511NYMidHudson,Updated: Construction on TaconicStateParkway SB at Lakeview Avenue
2/1/2020 20:31,511NY,Cleared: Construction on TaconicStateParkway SB at Lakeview Avenue
2/1/2020 20:08,511NY,Incident on HarlemRiverDrive NB at George Washington Bridge
2/1/2020 20:02,511NY,Cleared: Special Event on CentralParkNYC
2/1/2020 20:01,511NYC,Updated: Special Event on CentralParkNYC
2/1/2020 1:16,511NY,Incident on PulaskiSkyway SB at Tonnelle Circle
2/1/2020 1:03,511NY,Incident on TaconicStateParkway NB at Jackson Corners Road
2/1/2020 1:01,511NY,Special Event on NJPerformingArtsCenter at Victoria Theater
2/1/2020 1:01,511NY,Cleared: Special Event on VerrazanonarrowsBridge WB at Staten Island Bound Upper Level
2/1/2020 19:46,511NY,Cleared: Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level
2/1/2020 19:31,511NY,Updated: Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level
2/1/2020 19:05,511NY,Cleared: Closure on BeltSystemShoreParkway EB at Coney Island Avenue
2/1/2020 19:01,511NY,Cleared: Construction on SawMillRiverParkway NB from START ROUTE Saw Mill River Parkway; Bronx-Westchester County Line; City Yonkers to...
2/1/2020 19:00,511NYMidHudson,Updated: Construction on SawMillRiverParkway NB from START ROUTE Saw Mill River Parkway;
2/1/2020 19:00,511NY,Updated: Construction on PortNewarkElizabethMarineTerminal
2/1/2020 18:01,511NYC,Special Event on BarclaysCenter
2/1/2020 17:59,511NY,Updated: Construction on HollandTunnel EB at New Jersey Side - Toll Plaza
2/1/2020 17:16,511NY,Cleared: Construction on PortNewarkElizabethMarineTerminal
2/1/2020 17:15,511NY,Cleared: Incident on WaltWhitmanBridge Both directions from New Jersey Side to Pennsylvania Side
2/1/2020 17:02,511NY,Cleared: Construction on BlossomRoad EB from Landing Road North to Browncroft Boulevard
2/1/2020 17:01,511NY,Updated: Construction on PortNewarkElizabethMarineTerminal
2/1/2020 16:49,511NY,Cleared: Incident on LincolnTunnel WB at New York Side - North Tube
